"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","616","And I enter currently saving each year for retirement as ""10%""","","Sat Mar 22 00:09:26 IST 2025","passed","Sat Mar 22 00:09:26 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","1","hook:","","Sat Mar 22 00:09:35 IST 2025","failed","Sat Mar 22 00:09:35 IST 2025","","","",""
"","1840","And I enter retirement age as ""68""","","Sat Mar 22 00:09:22 IST 2025","passed","Sat Mar 22 00:09:24 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","652","And I enter spouse's annual income as ""75000""","","Sat Mar 22 00:09:25 IST 2025","passed","Sat Mar 22 00:09:25 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","705","And I enter current annual income as ""100000""","","Sat Mar 22 00:09:24 IST 2025","passed","Sat Mar 22 00:09:25 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","873","When I click on the calculate button","","Sat Mar 22 00:09:27 IST 2025","passed","Sat Mar 22 00:09:28 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","684","And I enter rate of increase in your savings each year as "".25%""","","Sat Mar 22 00:09:26 IST 2025","passed","Sat Mar 22 00:09:27 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","9966","Given I open URL and log in on the Securian Calculator Home Page","","Sat Mar 22 00:09:05 IST 2025","passed","Sat Mar 22 00:09:15 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","7278","When I enter current age as ""40""","","Sat Mar 22 00:09:15 IST 2025","passed","Sat Mar 22 00:09:22 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","168","And I verify the Minimum Amount needed for retirement","","Sat Mar 22 00:09:31 IST 2025","passed","Sat Mar 22 00:09:31 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","3171","Then I verify the Retirement Amount Results page is loaded","","Sat Mar 22 00:09:28 IST 2025","passed","Sat Mar 22 00:09:31 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","564","And I enter current retirement savings balance as ""500000""","","Sat Mar 22 00:09:25 IST 2025","passed","Sat Mar 22 00:09:26 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","289","And I verify the amount saved till now","","Sat Mar 22 00:09:31 IST 2025","passed","Sat Mar 22 00:09:32 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
"","3079","And I click on the Edit Info button to go back to the Home Page","","Sat Mar 22 00:09:32 IST 2025","passed","Sat Mar 22 00:09:35 IST 2025","","Retirement Planning Calculator: Calculating Retirement Amount - Happy Path","",""
